epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
42,2283.04,1.15394,1.81146,1.0952,1.06235,0,0.81804,0.44396,0.55557,0.34416,0.76702,0.42015,0.50349,0.17745,1.60911,2.62063,1.58642,1.30308,0,0.000848969,0.000848969,0.000848969
43,2334.02,1.15282,1.84701,1.11965,1.08981,0,0.84206,0.50481,0.61186,0.35383,0.74942,0.44396,0.49233,0.1747,1.61011,2.67895,1.59684,1.26881,0,0.000834822,0.000834822,0.000834822
44,2385.5,1.18878,1.97449,1.07338,1.08034,0,0.66051,0.54792,0.57665,0.37391,0.6179,0.50952,0.49242,0.17349,1.46591,2.59862,1.55047,1.22835,0,0.000820675,0.000820675,0.000820675
45,2437.55,1.22487,1.98598,1.08659,1.11158,0,0.7071,0.53061,0.58622,0.37529,0.60041,0.43044,0.41976,0.15708,1.47839,2.54665,1.57469,1.25152,0,0.000806528,0.000806528,0.000806528
46,2492.29,1.2025,1.85907,1.08235,1.09497,0,0.70878,0.53077,0.58111,0.3676,0.6179,0.4718,0.46991,0.17696,1.55582,2.55975,1.55158,1.28571,0,0.00079238,0.00079238,0.00079238
47,2543.58,1.09359,1.89771,1.04009,1.06494,0,0.74682,0.55622,0.59544,0.38547,0.61927,0.50983,0.49583,0.17578,1.47233,2.53524,1.51594,1.23921,0,0.000778233,0.000778233,0.000778233
48,2594.83,1.15443,1.86674,1.0617,1.09439,0,0.73382,0.55892,0.61174,0.39231,0.69734,0.4871,0.51586,0.1869,1.46308,2.49043,1.46192,1.21989,0,0.000764086,0.000764086,0.000764086
49,2647.16,1.1276,1.81408,1.01293,1.07138,0,0.83192,0.51659,0.61707,0.37196,0.72355,0.4406,0.49465,0.17482,1.51925,2.5705,1.45345,1.21122,0,0.000749939,0.000749939,0.000749939
50,2699.49,1.16056,1.85589,1.04668,1.08413,0,0.80629,0.50522,0.62509,0.36221,0.75157,0.45469,0.5053,0.17107,1.53867,2.67808,1.46479,1.24825,0,0.000735792,0.000735792,0.000735792
51,2751.86,1.12527,1.7868,1.03322,1.04984,0,0.74213,0.57342,0.63734,0.37471,0.61275,0.47498,0.4806,0.15958,1.53934,2.67583,1.53179,1.22369,0,0.000721645,0.000721645,0.000721645
52,2803.01,1.1193,1.7948,1.00604,1.07056,0,0.73484,0.57287,0.62712,0.38652,0.67917,0.47584,0.53521,0.19241,1.48794,2.62553,1.55372,1.20724,0,0.000707498,0.000707498,0.000707498
